Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Soil_Type,Variety,Crop
97,36,45,22.23,81.86,6.94,278.08,Clay-Loam,Standard_V1,rice
67,47,44,26.73,81.79,7.87,280.4,Clay-Loam,Standard_V1,rice
73,35,38,24.89,81.98,5.01,185.95,Silty-Clay,Standard_V1,rice
77,36,37,26.88,81.46,6.14,194.58,Silty-Clay,Standard_V1,rice
81,41,38,22.68,83.73,7.52,200.91,Clay-Loam,Standard_V1,rice
68,57,43,26.09,80.38,5.71,182.9,Silty-Clay,Standard_V1,rice
72,45,35,25.43,82.95,5.76,195.36,Clay,Standard_V1,rice
61,53,43,26.4,81.06,6.35,223.37,Clay-Loam,Standard_V1,rice
67,43,39,26.04,84.97,6.0,186.75,Clay,Standard_V1,rice
67,58,39,25.28,80.54,5.45,220.12,Clay,Standard_V1,rice
66,60,38,22.09,83.47,6.37,231.74,Clay-Loam,Standard_V1,rice
82,43,38,23.29,81.43,5.11,242.32,Silty-Clay,Standard_V1,rice
84,50,44,25.49,81.41,5.94,182.65,Clay,Standard_V1,rice
81,53,42,23.68,81.04,5.18,233.7,Clay-Loam,Standard_V1,rice
91,50,40,20.82,84.13,6.46,230.22,Clay,Standard_V1,rice
93,53,38,26.93,81.91,7.07,290.68,Clay,Standard_V1,rice
90,44,38,23.84,83.88,7.47,241.2,Clay,Standard_V1,rice
81,45,35,26.53,80.12,6.16,218.92,Clay,Standard_V1,rice
78,40,38,26.46,83.86,7.55,248.23,Silty-Clay,Standard_V1,rice
60,51,36,22.7,82.81,6.03,257.0,Clay,Standard_V1,rice
88,46,42,22.68,83.46,6.6,194.27,Clay,Standard_V1,rice
93,47,37,21.53,82.14,6.5,295.92,Clay,Standard_V1,rice
60,55,45,21.41,83.33,5.94,287.58,Silty-Clay,Standard_V1,rice
78,35,44,26.54,84.67,7.07,183.62,Clay,Standard_V1,rice
65,37,40,23.36,83.6,5.33,188.41,Clay,Standard_V1,rice
71,54,16,22.61,63.69,5.75,87.76,Silt-Loam,Standard_V1,maize
61,44,17,26.1,71.57,6.93,102.27,Silt-Loam,Standard_V1,maize
80,43,16,23.56,71.59,6.66,66.72,Silt-Loam,Standard_V1,maize
73,58,21,19.97,57.68,6.6,60.65,Loam,Standard_V1,maize
61,38,20,18.48,62.7,5.97,65.44,Silt-Loam,Standard_V1,maize
68,41,16,21.78,57.81,6.16,102.09,Silt-Loam,Standard_V1,maize
93,41,17,25.62,66.5,6.05,105.47,Loam,Standard_V1,maize
89,60,19,25.19,66.69,5.91,78.07,Silt-Loam,Standard_V1,maize
76,44,17,20.42,62.55,5.86,65.28,Loam,Standard_V1,maize
67,60,25,24.92,66.79,5.75,109.22,Sandy-Loam,Standard_V1,maize
70,44,19,23.32,73.45,5.85,94.3,Silt-Loam,Standard_V1,maize
90,49,21,24.84,68.36,6.47,74.05,Sandy-Loam,Standard_V1,maize
62,52,16,22.28,58.84,6.97,63.87,Loam,Standard_V1,maize
92,44,16,18.88,65.77,6.08,94.76,Silt-Loam,Standard_V1,maize
66,54,21,25.19,60.2,5.92,72.12,Loam,Standard_V1,maize
63,58,22,18.25,55.28,6.2,63.72,Sandy-Loam,Standard_V1,maize
70,47,17,24.61,70.42,6.6,104.16,Loam,Standard_V1,maize
61,41,17,25.14,65.26,6.02,76.68,Silt-Loam,Standard_V1,maize
66,53,19,23.09,60.12,6.03,65.5,Silt-Loam,Standard_V1,maize
74,55,19,18.05,62.89,6.29,84.24,Sandy-Loam,Standard_V1,maize
77,57,21,24.93,73.8,6.55,79.74,Loam,Standard_V1,maize
99,50,15,18.15,71.09,5.57,88.08,Silt-Loam,Standard_V1,maize
74,56,22,18.28,66.66,6.83,80.98,Sandy-Loam,Standard_V1,maize
83,45,21,18.83,58.75,5.72,79.75,Silt-Loam,Standard_V1,maize
100,48,16,25.72,67.22,5.55,74.51,Silt-Loam,Standard_V1,maize
79,51,16,25.34,68.5,6.59,96.46,Loam,Standard_V1,maize
94,39,18,23.89,57.49,5.89,102.83,Silt-Loam,Standard_V1,maize
75,49,15,21.54,71.51,5.92,102.49,Loam,Standard_V1,maize
78,48,22,23.09,63.1,5.59,70.43,Silt-Loam,Standard_V1,maize
87,54,20,25.62,63.47,6.58,108.83,Sandy-Loam,Standard_V1,maize
87,35,25,21.45,63.16,6.18,65.89,Silt-Loam,Standard_V1,maize
63,43,19,18.52,55.53,6.64,90.99,Loam,Standard_V1,maize
84,57,25,22.54,67.99,6.49,64.41,Loam,Standard_V1,maize
64,35,23,23.02,61.89,5.68,63.04,Sandy-Loam,Standard_V1,maize
60,46,22,24.89,65.61,6.63,87.93,Silt-Loam,Standard_V1,maize
98,44,21,25.77,74.09,6.52,107.49,Silt-Loam,Standard_V1,maize
75,56,18,19.4,62.36,5.7,60.95,Sandy-Loam,Standard_V1,maize
86,55,21,21.54,59.64,6.8,109.75,Silt-Loam,Standard_V1,maize
98,35,18,23.8,74.83,6.25,91.76,Silt-Loam,Standard_V1,maize
76,57,18,18.98,74.53,6.09,94.26,Loam,Standard_V1,maize
99,56,17,24.11,73.13,6.23,71.08,Silt-Loam,Standard_V1,maize
60,44,23,24.79,70.05,5.72,76.73,Silt-Loam,Standard_V1,maize
74,48,17,21.63,60.28,6.43,69.22,Sandy-Loam,Standard_V1,maize
89,60,17,25.38,57.21,5.98,101.7,Sandy-Loam,Standard_V1,maize
69,51,23,22.22,72.85,6.8,106.62,Loam,Standard_V1,maize
96,46,22,20.58,69.0,6.5,66.29,Silt-Loam,Standard_V1,maize
61,60,15,24.88,68.74,6.27,91.26,Silt-Loam,Standard_V1,maize
74,58,18,20.04,56.36,6.73,109.02,Silt-Loam,Standard_V1,maize
74,43,23,25.95,61.89,6.33,99.58,Loam,Standard_V1,maize
63,43,17,19.29,65.47,6.81,71.32,Loam,Standard_V1,maize
99,36,20,20.58,65.35,6.67,78.35,Sandy-Loam,Standard_V1,maize
77,36,23,24.71,56.73,6.65,88.45,Loam,Standard_V1,maize
87,60,23,20.27,63.91,6.44,62.5,Silt-Loam,Standard_V1,maize
60,38,17,18.42,64.24,6.47,76.41,Silt-Loam,Standard_V1,maize
94,54,17,23.39,61.74,5.87,107.32,Loam,Standard_V1,maize
95,38,22,19.85,61.25,5.73,100.77,Silt-Loam,Standard_V1,maize
84,44,21,21.87,61.91,5.85,107.27,Silt-Loam,Standard_V1,maize
77,58,19,22.81,56.51,5.79,101.6,Loam,Standard_V1,maize
66,44,20,19.08,69.02,6.74,80.73,Loam,Standard_V1,maize
63,35,16,22.03,65.36,6.27,83.73,Silt-Loam,Standard_V1,maize
79,45,20,23.81,59.25,5.72,89.96,Silt-Loam,Standard_V1,maize
72,60,25,18.53,69.03,5.77,88.1,Silt-Loam,Standard_V1,maize
67,51,24,23.5,61.32,5.58,64.78,Sandy-Loam,Standard_V1,maize
86,36,24,26.55,72.89,5.79,73.34,Sandy-Loam,Standard_V1,maize
76,48,18,19.3,69.63,5.78,83.21,Sandy-Loam,Standard_V1,maize
75,53,18,20.69,59.44,6.86,103.65,Loam,Standard_V1,maize
81,45,23,19.33,68.03,6.19,84.23,Sandy-Loam,Standard_V1,maize
73,45,21,24.61,73.59,6.64,96.59,Loam,Standard_V1,maize
71,35,24,22.27,59.52,5.83,67.97,Loam,Standard_V1,maize
96,54,22,25.7,61.33,6.96,83.21,Sandy-Loam,Standard_V1,maize
99,39,18,19.2,68.31,6.11,87.85,Sandy-Loam,Standard_V1,maize
62,48,20,21.7,60.47,6.71,95.71,Sandy-Loam,Standard_V1,maize
86,37,16,20.52,59.21,5.56,67.61,Silt-Loam,Standard_V1,maize
94,50,19,23.3,73.63,5.87,97.59,Sandy-Loam,Standard_V1,maize
76,39,24,24.25,55.65,7.0,64.24,Silt-Loam,Standard_V1,maize
77,52,17,24.86,65.74,5.71,75.82,Loam,Standard_V1,maize
74,39,23,22.63,65.77,6.78,88.17,Silt-Loam,Standard_V1,maize
81,49,20,18.04,60.61,5.51,104.23,Sandy-Loam,Standard_V1,maize
63,42,21,23.26,72.33,5.8,67.1,Loam,Standard_V1,maize
99,38,21,22.88,71.6,6.35,67.73,Loam,Standard_V1,maize
90,52,25,25.97,69.36,6.82,103.22,Loam,Standard_V1,maize
68,40,19,26.14,66.21,6.66,107.24,Silt-Loam,Standard_V1,maize
60,57,24,18.66,61.55,6.12,75.03,Sandy-Loam,Standard_V1,maize
71,52,18,25.11,55.98,5.79,78.16,Loam,Standard_V1,maize
61,59,17,23.34,59.25,6.47,105.01,Loam,Standard_V1,maize
88,38,15,25.08,65.92,6.46,62.49,Loam,Standard_V1,maize
65,60,22,25.37,72.52,6.61,107.91,Silt-Loam,Standard_V1,maize
78,37,22,25.34,63.32,6.33,74.52,Silt-Loam,Standard_V1,maize
78,58,15,25.01,67.82,6.53,62.91,Sandy-Loam,Standard_V1,maize
92,60,23,18.67,71.52,5.72,69.93,Silt-Loam,Standard_V1,maize
79,59,17,20.38,63.74,6.64,108.51,Loam,Standard_V1,maize
91,55,15,18.09,72.61,6.38,78.96,Sandy-Loam,Standard_V1,maize
76,51,18,26.17,71.96,6.25,79.85,Loam,Standard_V1,maize
87,48,25,18.65,61.38,6.66,93.62,Loam,Standard_V1,maize
71,60,22,26.07,59.37,6.2,85.76,Silt-Loam,Standard_V1,maize
90,57,24,18.93,72.8,6.16,82.34,Sandy-Loam,Standard_V1,maize
67,35,22,23.31,63.25,6.39,108.76,Silt-Loam,Standard_V1,maize
60,54,19,18.75,62.5,6.42,70.23,Silt-Loam,Standard_V1,maize
83,58,23,19.74,59.66,6.38,65.51,Sandy-Loam,Standard_V1,maize
83,57,19,25.73,70.75,6.88,98.74,Loam,Standard_V1,maize
40,72,77,17.02,16.99,7.49,88.55,Loam,Standard_V1,chickpea
23,72,84,19.02,17.13,6.92,79.93,Sandy-Loam,Standard_V1,chickpea
39,58,85,17.89,15.41,6.0,68.55,Loam,Standard_V1,chickpea
22,72,85,18.87,15.66,6.39,88.51,Sandy-Loam,Standard_V1,chickpea
36,67,77,18.37,19.56,7.15,79.26,Sandy-Loam,Standard_V1,chickpea
32,73,81,20.45,15.4,5.99,92.68,Black,Standard_V1,chickpea
58,70,84,20.65,16.61,6.23,74.66,Sandy-Loam,Standard_V1,chickpea
59,70,84,17.33,18.75,7.55,82.62,Black,Standard_V1,chickpea
42,62,75,18.18,18.9,7.01,81.85,Loam,Standard_V1,chickpea
28,74,81,18.01,18.31,8.75,81.99,Loam,Standard_V1,chickpea
58,66,79,20.99,19.33,8.72,93.55,Loam,Standard_V1,chickpea
43,66,79,19.46,15.23,7.98,74.59,Loam,Standard_V1,chickpea
58,63,81,19.81,14.7,6.52,78.97,Black,Standard_V1,chickpea
23,62,85,18.97,19.52,8.49,80.71,Loam,Standard_V1,chickpea
27,62,77,18.2,14.71,6.58,70.18,Sandy-Loam,Standard_V1,chickpea
28,72,84,18.73,19.18,6.48,71.58,Sandy-Loam,Standard_V1,chickpea
50,56,76,21.0,19.86,7.97,73.51,Sandy-Loam,Standard_V1,chickpea
39,71,84,20.28,16.4,8.14,82.52,Black,Standard_V1,chickpea
25,78,76,17.48,15.76,7.23,66.97,Loam,Standard_V1,chickpea
31,70,77,20.89,14.32,6.49,90.46,Loam,Standard_V1,chickpea
26,80,83,17.08,16.15,7.53,71.31,Loam,Standard_V1,chickpea
25,68,77,20.09,15.11,7.7,85.75,Black,Standard_V1,chickpea
31,78,76,17.57,15.0,8.52,89.31,Sandy-Loam,Standard_V1,chickpea
60,68,83,19.12,18.43,6.62,85.53,Sandy-Loam,Standard_V1,chickpea
59,62,83,18.58,19.22,8.1,72.95,Loam,Standard_V1,chickpea
22,67,78,17.17,14.42,6.2,72.33,Sandy-Loam,Standard_V1,chickpea
36,65,80,18.29,16.68,6.05,74.87,Sandy-Loam,Standard_V1,chickpea
59,60,84,19.03,18.67,7.69,94.71,Black,Standard_V1,chickpea
54,77,85,17.14,17.07,7.83,83.75,Black,Standard_V1,chickpea
43,68,81,17.48,17.93,6.76,78.92,Black,Standard_V1,chickpea
28,76,82,20.57,14.26,6.65,83.76,Black,Standard_V1,chickpea
42,79,85,17.22,15.82,6.13,76.58,Loam,Standard_V1,chickpea
32,60,83,19.69,19.44,8.83,91.76,Black,Standard_V1,chickpea
22,78,76,17.85,19.09,8.62,76.32,Sandy-Loam,Standard_V1,chickpea
31,79,75,18.82,16.11,8.2,89.73,Loam,Standard_V1,chickpea
28,58,81,17.48,16.54,6.18,93.35,Sandy-Loam,Standard_V1,chickpea
57,58,77,18.73,17.58,7.98,81.2,Sandy-Loam,Standard_V1,chickpea
49,55,78,18.66,16.18,7.86,81.71,Sandy-Loam,Standard_V1,chickpea
46,76,77,18.24,19.69,6.97,83.75,Black,Standard_V1,chickpea
54,61,77,18.81,15.22,6.21,77.54,Black,Standard_V1,chickpea
38,60,76,18.65,17.81,8.87,77.93,Loam,Standard_V1,chickpea
59,55,79,20.37,16.9,8.77,82.25,Loam,Standard_V1,chickpea
36,76,75,18.38,16.64,8.74,70.52,Black,Standard_V1,chickpea
57,68,81,17.17,17.3,8.08,72.79,Sandy-Loam,Standard_V1,chickpea
35,66,81,19.37,15.77,6.14,85.25,Loam,Standard_V1,chickpea
35,64,78,17.93,14.27,7.5,85.37,Black,Standard_V1,chickpea
52,60,79,19.45,18.23,8.38,75.63,Black,Standard_V1,chickpea
27,76,83,19.13,14.92,6.29,89.62,Black,Standard_V1,chickpea
57,60,84,19.1,17.26,6.59,75.49,Sandy-Loam,Standard_V1,chickpea
52,68,78,17.49,16.96,6.9,86.05,Black,Standard_V1,chickpea
43,79,79,19.41,18.98,7.81,80.25,Black,Standard_V1,chickpea
44,74,85,20.19,19.64,7.15,78.26,Black,Standard_V1,chickpea
24,55,78,17.3,15.15,6.65,75.58,Black,Standard_V1,chickpea
29,77,75,17.5,15.48,7.78,72.94,Loam,Standard_V1,chickpea
20,60,78,18.17,14.7,6.36,90.78,Loam,Standard_V1,chickpea
56,67,78,17.57,16.72,8.26,77.82,Black,Standard_V1,chickpea
37,66,85,20.93,18.91,6.46,78.07,Sandy-Loam,Standard_V1,chickpea
49,71,76,19.71,17.64,6.61,85.58,Loam,Standard_V1,chickpea
59,69,80,19.08,17.87,8.17,69.41,Black,Standard_V1,chickpea
20,79,77,18.55,16.03,7.65,76.33,Loam,Standard_V1,chickpea
24,56,85,18.2,17.41,6.55,80.64,Loam,Standard_V1,chickpea
51,72,75,18.89,14.99,7.1,80.11,Sandy-Loam,Standard_V1,chickpea
57,73,85,18.49,14.72,7.36,91.95,Black,Standard_V1,chickpea
22,64,82,19.49,17.17,6.47,87.51,Black,Standard_V1,chickpea
52,73,79,17.26,18.75,7.84,94.0,Sandy-Loam,Standard_V1,chickpea
29,75,75,19.62,18.71,7.06,88.46,Sandy-Loam,Standard_V1,chickpea
44,59,78,20.68,19.85,7.6,84.78,Black,Standard_V1,chickpea
41,69,82,20.02,16.63,6.72,68.98,Black,Standard_V1,chickpea
52,56,85,20.12,14.44,6.82,88.68,Sandy-Loam,Standard_V1,chickpea
34,76,80,20.66,15.85,7.99,65.24,Loam,Standard_V1,chickpea
42,74,83,19.26,14.28,7.55,65.78,Loam,Standard_V1,chickpea
34,71,79,17.93,15.86,7.73,74.64,Sandy-Loam,Standard_V1,chickpea
27,73,79,19.16,15.84,7.35,82.7,Loam,Standard_V1,chickpea
30,70,79,20.27,19.97,7.31,69.64,Sandy-Loam,Standard_V1,chickpea
57,57,75,17.09,18.25,7.79,87.27,Loam,Standard_V1,chickpea
27,79,82,17.07,17.54,6.31,70.87,Loam,Standard_V1,chickpea
32,71,85,20.63,14.44,6.4,92.07,Black,Standard_V1,chickpea
31,76,82,20.82,17.85,7.6,79.21,Black,Standard_V1,chickpea
33,75,84,19.46,18.73,7.22,68.81,Loam,Standard_V1,chickpea
47,80,77,17.18,16.43,7.56,72.85,Loam,Standard_V1,chickpea
54,62,80,17.49,16.39,7.49,79.46,Black,Standard_V1,chickpea
47,79,78,17.48,14.76,6.61,65.11,Black,Standard_V1,chickpea
35,57,83,19.48,17.45,7.48,80.5,Black,Standard_V1,chickpea
53,73,77,19.71,18.1,7.33,73.64,Sandy-Loam,Standard_V1,chickpea
45,61,78,19.49,16.06,6.49,81.53,Loam,Standard_V1,chickpea
37,78,79,19.95,14.83,7.79,88.68,Black,Standard_V1,chickpea
30,75,81,19.42,16.8,6.41,68.5,Loam,Standard_V1,chickpea
37,55,82,19.46,18.02,8.42,78.45,Sandy-Loam,Standard_V1,chickpea
53,65,76,20.19,16.42,8.72,77.34,Sandy-Loam,Standard_V1,chickpea
22,60,85,18.84,14.74,7.81,94.78,Black,Standard_V1,chickpea
60,61,78,20.71,19.84,6.32,94.04,Sandy-Loam,Standard_V1,chickpea
42,67,77,18.99,15.94,7.11,78.7,Loam,Standard_V1,chickpea
39,76,76,19.97,15.57,8.14,69.16,Black,Standard_V1,chickpea
35,63,76,17.82,17.61,7.71,90.82,Loam,Standard_V1,chickpea
30,65,82,20.71,15.28,7.1,76.78,Loam,Standard_V1,chickpea
57,56,78,17.34,18.76,8.86,67.95,Sandy-Loam,Standard_V1,chickpea
48,65,78,17.44,14.34,7.86,73.09,Sandy-Loam,Standard_V1,chickpea
36,56,83,18.9,19.76,7.45,69.1,Sandy-Loam,Standard_V1,chickpea
40,58,75,18.59,14.78,7.17,89.61,Sandy-Loam,Standard_V1,chickpea
49,69,82,18.32,15.36,7.26,81.79,Sandy-Loam,Standard_V1,chickpea
13,60,25,17.14,20.6,5.69,128.26,Red,Standard_V1,kidneybeans
25,70,16,19.63,18.91,5.76,106.36,Loam,Standard_V1,kidneybeans
31,55,22,22.91,21.34,5.87,109.23,Loam,Standard_V1,kidneybeans
40,64,16,16.43,24.24,5.93,140.37,Loam,Standard_V1,kidneybeans
2,61,20,22.14,23.02,5.96,76.64,Loam,Standard_V1,kidneybeans
26,65,22,17.85,18.78,5.95,143.1,Silt-Loam,Standard_V1,kidneybeans
17,57,21,19.88,20.32,5.79,60.92,Loam,Standard_V1,kidneybeans
26,80,18,19.33,23.33,5.58,104.78,Red,Standard_V1,kidneybeans
17,59,17,18.42,23.43,5.69,132.98,Red,Standard_V1,kidneybeans
27,59,22,21.81,23.21,5.79,130.06,Loam,Standard_V1,kidneybeans
28,58,24,19.73,18.28,5.75,143.76,Loam,Standard_V1,kidneybeans
25,57,19,17.15,19.87,5.57,88.0,Red,Standard_V1,kidneybeans
28,80,17,19.62,18.67,5.81,144.16,Red,Standard_V1,kidneybeans
25,60,22,21.63,21.18,5.89,134.36,Silt-Loam,Standard_V1,kidneybeans
12,78,23,16.07,18.72,6.0,88.07,Red,Standard_V1,kidneybeans
6,77,25,20.61,24.36,5.79,69.64,Silt-Loam,Standard_V1,kidneybeans
22,79,17,21.42,20.4,5.91,116.52,Silt-Loam,Standard_V1,kidneybeans
27,80,15,19.07,21.21,5.79,86.22,Silt-Loam,Standard_V1,kidneybeans
10,55,23,21.19,19.63,5.73,137.19,Silt-Loam,Standard_V1,kidneybeans
23,65,20,23.04,22.43,5.83,108.37,Silt-Loam,Standard_V1,kidneybeans
19,78,16,20.65,23.11,5.97,67.72,Loam,Standard_V1,kidneybeans
19,65,25,18.1,18.29,5.63,144.79,Red,Standard_V1,kidneybeans
22,70,19,18.24,21.08,5.52,69.45,Silt-Loam,Standard_V1,kidneybeans
37,64,22,17.48,18.83,5.95,121.94,Red,Standard_V1,kidneybeans
11,71,17,19.92,21.47,5.75,82.69,Red,Standard_V1,kidneybeans
18,79,20,20.28,23.24,5.88,139.75,Silt-Loam,Standard_V1,kidneybeans
21,63,17,15.77,19.23,5.98,108.34,Loam,Standard_V1,kidneybeans
24,80,22,16.71,19.18,5.64,96.77,Silt-Loam,Standard_V1,kidneybeans
34,60,22,17.66,18.15,5.64,100.67,Loam,Standard_V1,kidneybeans
16,75,21,18.51,23.62,5.68,87.05,Red,Standard_V1,kidneybeans
17,77,23,24.51,20.82,5.67,64.19,Loam,Standard_V1,kidneybeans
37,72,18,18.88,24.54,5.72,105.41,Loam,Standard_V1,kidneybeans
40,73,20,21.59,20.32,5.81,61.14,Loam,Standard_V1,kidneybeans
9,77,17,20.12,24.45,5.78,106.16,Red,Standard_V1,kidneybeans
1,62,23,15.44,18.37,5.61,139.03,Red,Standard_V1,kidneybeans
33,59,22,22.64,21.59,5.95,122.39,Loam,Standard_V1,kidneybeans
23,59,19,21.99,24.87,5.85,129.57,Loam,Standard_V1,kidneybeans
6,62,22,20.53,18.09,5.82,120.45,Silt-Loam,Standard_V1,kidneybeans
25,63,20,15.79,21.15,5.5,95.17,Loam,Standard_V1,kidneybeans
7,79,23,19.64,19.69,5.82,96.66,Silt-Loam,Standard_V1,kidneybeans
8,72,17,20.57,19.75,5.71,87.88,Loam,Standard_V1,kidneybeans
27,64,15,20.16,24.84,5.51,138.24,Silt-Loam,Standard_V1,kidneybeans
28,66,23,21.54,24.25,6.0,120.69,Red,Standard_V1,kidneybeans
32,57,18,15.54,23.76,5.7,107.39,Loam,Standard_V1,kidneybeans
27,56,22,19.92,20.7,5.83,108.64,Loam,Standard_V1,kidneybeans
17,77,24,20.77,18.93,5.57,109.02,Loam,Standard_V1,kidneybeans
0,65,15,23.46,23.22,5.65,95.84,Loam,Standard_V1,kidneybeans
13,72,21,24.32,21.03,5.82,60.28,Silt-Loam,Standard_V1,kidneybeans
34,60,23,20.13,24.97,5.66,100.05,Loam,Standard_V1,kidneybeans
9,80,19,21.81,18.57,5.95,125.1,Red,Standard_V1,kidneybeans
11,72,20,19.52,24.93,5.95,113.33,Red,Standard_V1,kidneybeans
3,67,24,17.0,19.91,5.52,103.29,Loam,Standard_V1,kidneybeans
35,69,23,16.79,24.97,5.58,75.45,Red,Standard_V1,kidneybeans
